Time Quat_X Quat_Y Quat_Z Quat_W Pos_X Pos_Y Pos_Z
0.925000 0.163425 -0.323254 0.690395 -0.626222 -228.435913 1165.064819 34.886192
0.933333 0.163428 -0.323243 0.690402 -0.626219 -228.437103 1165.066528 34.887600
0.941667 0.163456 -0.322809 0.690475 -0.626356 -228.464371 1165.092529 34.889721
0.950000 0.163482 -0.322656 0.690462 -0.626441 -228.474976 1165.102051 34.888401
0.958333 0.163445 -0.322636 0.690491 -0.626430 -228.471344 1165.107422 34.890747
0.966667 0.163401 -0.323094 0.690437 -0.626265 -228.447021 1165.072632 34.888615
0.975000 0.164156 -0.322682 0.690047 -0.626709 -228.402298 1165.064575 34.915897
0.983333 0.163618 -0.322667 0.690376 -0.626495 -228.449432 1165.097778 34.897968
0.991667 0.163418 -0.323113 0.690422 -0.626267 -228.444000 1165.072266 34.887737
1.000000 0.163386 -0.322787 0.690501 -0.626356 -228.466629 1165.098022 34.887978
1.008333 0.163388 -0.322697 0.690538 -0.626361 -228.473343 1165.105225 34.888916
1.016667 0.163380 -0.323112 0.690448 -0.626248 -228.451630 1165.075195 34.886009
1.025000 0.163379 -0.323231 0.690420 -0.626218 -228.440704 1165.064209 34.885174
1.033333 0.163419 -0.322839 0.690485 -0.626338 -228.462158 1165.093628 34.887070
1.041667 0.163402 -0.323152 0.690443 -0.626228 -228.450729 1165.070801 34.885078
1.050000 0.163401 -0.323244 0.690416 -0.626210 -228.442520 1165.062134 34.885094
1.058333 0.163411 -0.323273 0.690422 -0.626186 -228.439087 1165.060791 34.885273
1.066667 0.163418 -0.323262 0.690412 -0.626201 -228.440582 1165.061279 34.885048
1.075000 0.163431 -0.323282 0.690398 -0.626203 -228.440598 1165.060547 34.884388
1.083333 0.163455 -0.322826 0.690490 -0.626330 -228.463821 1165.093872 34.890301
1.091667 0.163432 -0.323137 0.690430 -0.626242 -228.445709 1165.072144 34.887390
1.100000 0.163446 -0.323209 0.690373 -0.626264 -228.447632 1165.066040 34.887508
1.108333 0.163435 -0.322804 0.690475 -0.626364 -228.466553 1165.093140 34.892807
1.116667 0.163445 -0.322685 0.690493 -0.626402 -228.467789 1165.107056 34.890545
1.125000 0.164194 -0.323012 0.689961 -0.626624 -228.381805 1165.046631 34.913006
1.133333 0.163616 -0.323211 0.690289 -0.626311 -228.423950 1165.056885 34.892628
1.141667 0.164255 -0.322671 0.689996 -0.626745 -228.400742 1165.064819 34.918060
1.150000 0.163615 -0.323094 0.690317 -0.626340 -228.427979 1165.062378 34.891850
1.158333 0.163421 -0.323232 0.690410 -0.626218 -228.437744 1165.065796 34.884911
1.166667 0.163371 -0.323257 0.690435 -0.626190 -228.437912 1165.067627 34.885399
1.175000 0.163387 -0.322845 0.690506 -0.626320 -228.467758 1165.092651 34.887234
1.183333 0.163387 -0.323130 0.690456 -0.626229 -228.450302 1165.071777 34.885441
1.191667 0.163386 -0.323225 0.690441 -0.626195 -228.440765 1165.067871 34.888206
1.200000 0.163391 -0.322815 0.690508 -0.626332 -228.465530 1165.092285 34.889400
1.208333 0.163412 -0.322708 0.690511 -0.626379 -228.474915 1165.102539 34.890575
1.216667 0.163422 -0.322697 0.690504 -0.626390 -228.475754 1165.107300 34.890362
1.225000 0.163405 -0.323114 0.690451 -0.626238 -228.449310 1165.072876 34.887924
1.233333 0.163391 -0.323222 0.690436 -0.626202 -228.442825 1165.061035 34.886414
1.241667 0.163423 -0.322827 0.690486 -0.626343 -228.461807 1165.094849 34.889282
1.250000 0.163414 -0.323149 0.690425 -0.626246 -228.443771 1165.071899 34.888828
1.258333 0.163401 -0.323228 0.690428 -0.626205 -228.442612 1165.063599 34.888699
1.266667 0.163442 -0.322835 0.690490 -0.626329 -228.465286 1165.091797 34.889713
1.275000 0.163413 -0.323131 0.690442 -0.626237 -228.445053 1165.071777 34.888618
1.283333 0.163422 -0.323225 0.690413 -0.626218 -228.442062 1165.066772 34.888367
1.291667 0.163423 -0.322828 0.690491 -0.626336 -228.465942 1165.096436 34.891964
1.300000 0.163437 -0.322710 0.690499 -0.626385 -228.473984 1165.101563 34.891090
1.308333 0.163437 -0.323077 0.690417 -0.626285 -228.457703 1165.074829 34.888493
1.316667 0.163431 -0.323233 0.690418 -0.626206 -228.443268 1165.063599 34.888111
1.325000 0.163420 -0.322818 0.690487 -0.626346 -228.465714 1165.094849 34.889637
1.333333 0.163402 -0.323125 0.690454 -0.626229 -228.450363 1165.073120 34.888897
1.341667 0.163403 -0.323223 0.690422 -0.626214 -228.439728 1165.064819 34.886238
1.350000 0.163429 -0.322807 0.690493 -0.626343 -228.462372 1165.094604 34.889240
1.358333 0.163429 -0.322689 0.690514 -0.626381 -228.472107 1165.102905 34.889999
