#timestamp qx qy qz qw px py pz
1738060994.833333015 0.499722 0.499692 0.500486 -0.500099 208.417389 861.450012 -797.357605
1738060994.841666937 0.499722 0.499695 0.500471 -0.500111 208.421799 861.441223 -797.355347
1738060994.849999905 0.499596 0.49954 0.50062 -0.500244 208.42926 861.454407 -797.372681
1738060994.858333111 0.49975 0.499659 0.500475 -0.500116 208.430801 861.44458 -797.339783
1738060994.866667032 0.499742 0.499699 0.500453 -0.500106 208.429016 861.453979 -797.338806
1738060994.875000000 0.499768 0.49971 0.50043 -0.500091 208.4254 861.454468 -797.34137
1738060994.883332968 0.499792 0.499707 0.500418 -0.500082 208.435791 861.442139 -797.340393
1738060994.891666889 0.499811 0.499674 0.500445 -0.50007 208.436905 861.441589 -797.333435
1738060994.900000095 0.499843 0.499684 0.500427 -0.500047 208.433472 861.446411 -797.331177
1738060994.908333063 0.499857 0.499705 0.500388 -0.50005 208.430923 861.44873 -797.333496
1738060994.916666985 0.499835 0.499685 0.500415 -0.500064 208.431015 861.455627 -797.330872
1738060994.924999952 0.499862 0.499676 0.500415 -0.500047 208.43306 861.450989 -797.332825
1738060994.933332920 0.499876 0.499691 0.500409 -0.500024 208.434433 861.44989 -797.327637
1738060994.941667080 0.499867 0.499688 0.500424 -0.500021 208.429047 861.456848 -797.332153
1738060994.950000048 0.499843 0.499684 0.500425 -0.500048 208.425903 861.458496 -797.33313
1738060994.958333015 0.499827 0.499672 0.500445 -0.500056 208.428818 861.452454 -797.337585
1738060994.966666937 0.499751 0.499593 0.500581 -0.500074 208.431595 861.456787 -797.321838
1738060994.974999905 0.499717 0.499584 0.500616 -0.500082 208.419922 861.459106 -797.325378
1738060994.983333111 0.499691 0.499585 0.500626 -0.500098 208.417114 861.453735 -797.329651
1738060994.991667032 0.499685 0.499586 0.500623 -0.500106 208.418106 861.446411 -797.335022
1738060995.000000000 0.499656 0.499573 0.500642 -0.500128 208.416321 861.447205 -797.338867
1738060995.041666985 0.499514 0.499468 0.500759 -0.500258 208.417175 861.457581 -797.354736
1738060995.049999952 0.499502 0.49947 0.500766 -0.500261 208.414108 861.469299 -797.350586
1738060995.058332920 0.499648 0.499582 0.500648 -0.50012 208.420532 861.455566 -797.325012
1738060995.066667080 0.499522 0.499163 0.500875 -0.500438 208.387665 861.527588 -797.316589
1738060995.075000048 0.499674 0.499596 0.500625 -0.500105 208.422211 861.449646 -797.323059
1738060995.083333015 0.499682 0.4996 0.50062 -0.500097 208.421371 861.454346 -797.323181
1738060995.091666937 0.4997 0.499594 0.500618 -0.500088 208.422241 861.448975 -797.316284
1738060995.099999905 0.499707 0.499573 0.50063 -0.500089 208.430939 861.455444 -797.318115
1738060995.108333111 0.499726 0.49958 0.500617 -0.500076 208.433807 861.448059 -797.315308
1738060995.116667032 0.499816 0.499672 0.500465 -0.500047 208.428558 861.44696 -797.331665
1738060995.125000000 0.499862 0.499711 0.500414 -0.500013 208.430573 861.446289 -797.328613
1738060995.133332968 0.49985 0.499686 0.500434 -0.50003 208.434189 861.451294 -797.324951
1738060995.141666889 0.499842 0.499681 0.500435 -0.500042 208.437607 861.449585 -797.323303
1738060995.150000095 0.499843 0.49968 0.500428 -0.500049 208.434158 861.447754 -797.325195
1738060995.158333063 0.499862 0.499702 0.500399 -0.500037 208.432205 861.449463 -797.325745
1738060995.166666985 0.499857 0.499704 0.500398 -0.50004 208.435944 861.444824 -797.324524
1738060995.174999952 0.499787 0.49968 0.500455 -0.500078 208.437805 861.45166 -797.325439
1738060995.183332920 0.499819 0.499701 0.500426 -0.500054 208.430786 861.443542 -797.331665
1738060995.191667080 0.499737 0.499685 0.500467 -0.500111 208.427734 861.464783 -797.333679
1738060995.200000048 0.499773 0.499686 0.500454 -0.500086 208.421936 861.44696 -797.342651
1738060995.208333015 0.499749 0.499685 0.500467 -0.500099 208.421936 861.445862 -797.345459
1738060995.216666937 0.499747 0.499687 0.500466 -0.5001 208.422226 861.444641 -797.350525
1738060995.224999905 0.499744 0.499693 0.500469 -0.500094 208.417816 861.439087 -797.355774
1738060995.233333111 0.499621 0.499608 0.500617 -0.500153 208.415665 861.458801 -797.338379
1738060995.241667032 0.499639 0.499606 0.500614 -0.50014 208.410965 861.455994 -797.345398
