Format Version,1.23,Take Name,setup1_cold_train,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-01-29 11.56.26.170 AM,Total Frames in Take,17289,Total Exported Frames,17289,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,camera,camera,camera,camera,camera,camera,camera
,ID,"AEBE393BDD8411EFF707FFEBDF2833AC","AEBE393BDD8411EFF707FFEBDF2833AC","AEBE393BDD8411EFF707FFEBDF2833AC","AEBE393BDD8411EFF707FFEBDF2833AC","AEBE393BDD8411EFF707FFEBDF2833AC","AEBE393BDD8411EFF707FFEBDF2833AC","AEBE393BDD8411EFF707FFEBDF2833AC"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
78,0.650000,-0.329603,-0.448127,0.487292,-0.673119,65.384766,1238.914185,-448.151215
79,0.658333,-0.329846,-0.448488,0.487606,-0.672533,65.291321,1238.925903,-448.155914
80,0.666667,-0.329849,-0.448476,0.487581,-0.672557,65.289658,1238.922607,-448.158905
81,0.675000,-0.329597,-0.448162,0.487261,-0.673122,65.386017,1238.909668,-448.151276
82,0.683333,-0.329598,-0.448135,0.487280,-0.673126,65.385696,1238.911621,-448.147766
83,0.691667,-0.329612,-0.448129,0.487288,-0.673118,65.384872,1238.911865,-448.149200
84,0.700000,-0.329860,-0.448472,0.487583,-0.672553,65.291679,1238.925537,-448.155090
85,0.708333,-0.329600,-0.448134,0.487272,-0.673131,65.387314,1238.912598,-448.144409
86,0.716667,-0.329603,-0.448117,0.487274,-0.673140,65.383858,1238.907471,-448.146149
87,0.725000,-0.329615,-0.448123,0.487268,-0.673134,65.384109,1238.904907,-448.144196
88,0.733333,-0.329614,-0.448120,0.487281,-0.673128,65.384964,1238.909424,-448.144287
