Format Version,1.23,Take Name,setup1_darkcold_train,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-01-29 12.00.53.813 PM,Total Frames in Take,16568,Total Exported Frames,16568,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,camera,camera,camera,camera,camera,camera,camera
,ID,"AEBE393BDD8411EFF707FFEBDF2833AC","AEBE393BDD8411EFF707FFEBDF2833AC","AEBE393BDD8411EFF707FFEBDF2833AC","AEBE393BDD8411EFF707FFEBDF2833AC","AEBE393BDD8411EFF707FFEBDF2833AC","AEBE393BDD8411EFF707FFEBDF2833AC","AEBE393BDD8411EFF707FFEBDF2833AC"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
94,0.783333,-0.329587,-0.448158,0.487287,-0.673111,65.390961,1238.916016,-448.140320
95,0.791667,-0.329598,-0.448162,0.487289,-0.673102,65.390808,1238.915649,-448.140778
96,0.800000,-0.329598,-0.448147,0.487287,-0.673113,65.384956,1238.916138,-448.142883
97,0.808333,-0.329589,-0.448156,0.487289,-0.673110,65.388939,1238.917969,-448.140289
98,0.816667,-0.329597,-0.448146,0.487275,-0.673122,65.387100,1238.915283,-448.140869
99,0.825000,-0.329608,-0.448168,0.487266,-0.673109,65.387894,1238.915771,-448.140686
100,0.833333,-0.329581,-0.448161,0.487283,-0.673115,65.387756,1238.916748,-448.141632
101,0.841667,-0.329591,-0.448143,0.487290,-0.673117,65.387039,1238.917603,-448.143097
102,0.850000,-0.329609,-0.448162,0.487267,-0.673112,65.385818,1238.919800,-448.143280
103,0.858333,-0.329594,-0.448150,0.487302,-0.673102,65.387085,1238.918091,-448.144867
104,0.866667,-0.329607,-0.448159,0.487278,-0.673107,65.382828,1238.917114,-448.142334
105,0.875000,-0.329584,-0.448160,0.487291,-0.673108,65.388000,1238.920898,-448.144836
106,0.883333,-0.329600,-0.448149,0.487300,-0.673101,65.384361,1238.920410,-448.144104
107,0.891667,-0.329584,-0.448172,0.487283,-0.673106,65.379715,1238.916504,-448.145325
108,0.900000,-0.329582,-0.448149,0.487299,-0.673110,65.375313,1238.918823,-448.144745
109,0.908333,-0.329854,-0.448492,0.487591,-0.672537,65.280502,1238.937378,-448.148895
110,0.916667,-0.329624,-0.448143,0.487290,-0.673100,65.380257,1238.923096,-448.143860
111,0.925000,-0.329623,-0.448198,0.487278,-0.673073,65.387108,1238.919434,-448.143951
112,0.933333,-0.329850,-0.448490,0.487608,-0.672528,65.281425,1238.931030,-448.148163
113,0.941667,-0.329631,-0.448162,0.487274,-0.673096,65.369728,1238.921631,-448.143555
114,0.950000,-0.329599,-0.448144,0.487291,-0.673111,65.379646,1238.920654,-448.141449
115,0.958333,-0.329846,-0.448511,0.487605,-0.672518,65.283295,1238.930664,-448.148102
116,0.966667,-0.329604,-0.448184,0.487261,-0.673104,65.370956,1238.913330,-448.141541
117,0.975000,-0.329610,-0.448180,0.487279,-0.673091,65.377716,1238.916260,-448.139313
118,0.983333,-0.329632,-0.448153,0.487274,-0.673102,65.378578,1238.915649,-448.143799
119,0.991667,-0.329608,-0.448178,0.487279,-0.673093,65.385941,1238.905396,-448.142426
120,1.000000,-0.329596,-0.448151,0.487317,-0.673089,65.379951,1238.904053,-448.142578
121,1.008333,-0.329585,-0.448158,0.487289,-0.673111,65.379913,1238.912598,-448.140503
122,1.016667,-0.329586,-0.448146,0.487270,-0.673131,65.381424,1238.916138,-448.136780
123,1.025000,-0.329586,-0.448160,0.487277,-0.673117,65.385513,1238.912598,-448.136200
124,1.033333,-0.329570,-0.448128,0.487301,-0.673128,65.391327,1238.911377,-448.135681
125,1.041667,-0.329806,-0.448450,0.487630,-0.672561,65.305870,1238.937988,-448.140808
126,1.050000,-0.329581,-0.448149,0.487272,-0.673131,65.394585,1238.916992,-448.135986
127,1.058333,-0.329591,-0.448154,0.487253,-0.673137,65.393883,1238.920288,-448.132324
128,1.066667,-0.329829,-0.448475,0.487636,-0.672528,65.302719,1238.931641,-448.139160
129,1.075000,-0.329574,-0.448137,0.487284,-0.673133,65.402031,1238.922241,-448.137573
130,1.083333,-0.329558,-0.448152,0.487275,-0.673137,65.397675,1238.929321,-448.135986
131,1.091667,-0.329865,-0.448530,0.487588,-0.672509,65.297478,1238.937744,-448.143951
132,1.100000,-0.329878,-0.448503,0.487603,-0.672510,65.297470,1238.932007,-448.146545
133,1.108333,-0.329602,-0.448167,0.487284,-0.673099,65.393379,1238.912720,-448.141357
134,1.116667,-0.329596,-0.448167,0.487281,-0.673105,65.392105,1238.927856,-448.143921
135,1.125000,-0.329826,-0.448497,0.487600,-0.672541,65.283173,1238.938965,-448.153595
136,1.133333,-0.329620,-0.448156,0.487282,-0.673100,65.382378,1238.920898,-448.150726
137,1.141667,-0.329603,-0.448151,0.487282,-0.673111,65.381752,1238.918335,-448.155945
138,1.150000,-0.329612,-0.448149,0.487267,-0.673119,65.373833,1238.922119,-448.158752
139,1.158333,-0.329613,-0.448163,0.487288,-0.673094,65.369156,1238.919922,-448.155975
140,1.166667,-0.329609,-0.448151,0.487288,-0.673104,65.368370,1238.925537,-448.158905
141,1.175000,-0.329583,-0.448132,0.487281,-0.673135,65.367722,1238.930054,-448.157196
142,1.183333,-0.329609,-0.448153,0.487269,-0.673117,65.372650,1238.920898,-448.156189
143,1.191667,-0.329607,-0.448156,0.487281,-0.673107,65.377914,1238.921021,-448.151306
144,1.200000,-0.329618,-0.448165,0.487266,-0.673106,65.379318,1238.923828,-448.151276
145,1.208333,-0.329875,-0.448512,0.487587,-0.672517,65.292519,1238.928223,-448.157349
146,1.216667,-0.329607,-0.448166,0.487289,-0.673094,65.387527,1238.914673,-448.151428
147,1.225000,-0.329403,-0.448087,0.487364,-0.673193,65.414162,1238.943115,-448.129730
148,1.233333,-0.329380,-0.448121,0.487360,-0.673184,65.418144,1238.946777,-448.127686
149,1.241667,-0.329571,-0.448167,0.487272,-0.673123,65.389503,1238.919312,-448.142426
150,1.250000,-0.329869,-0.448528,0.487604,-0.672496,65.299080,1238.925293,-448.150452
151,1.258333,-0.329848,-0.448506,0.487613,-0.672515,65.302216,1238.925171,-448.146240
152,1.266667,-0.329568,-0.448197,0.487263,-0.673111,65.396347,1238.919189,-448.135254
153,1.275000,-0.329581,-0.448198,0.487271,-0.673099,65.396324,1238.924561,-448.134094
154,1.283333,-0.329579,-0.448157,0.487285,-0.673117,65.397850,1238.919922,-448.137024
155,1.291667,-0.329581,-0.448157,0.487272,-0.673125,65.398384,1238.915039,-448.139771
156,1.300000,-0.329599,-0.448183,0.487268,-0.673102,65.393997,1238.922974,-448.135864
157,1.308333,-0.329570,-0.448181,0.487309,-0.673088,65.395126,1238.925049,-448.132843
158,1.316667,-0.329586,-0.448147,0.487275,-0.673127,65.400993,1238.919556,-448.139862
159,1.325000,-0.329824,-0.448481,0.487613,-0.672543,65.298012,1238.928833,-448.142181
160,1.333333,-0.329837,-0.448469,0.487615,-0.672543,65.293777,1238.932983,-448.141418
161,1.341667,-0.329605,-0.448129,0.487285,-0.673122,65.384735,1238.922974,-448.141174
162,1.350000,-0.329832,-0.448450,0.487603,-0.672567,65.285561,1238.928223,-448.150421
163,1.358333,-0.329614,-0.448159,0.487283,-0.673100,65.384338,1238.908936,-448.146820
164,1.366667,-0.329633,-0.448154,0.487275,-0.673100,65.378479,1238.913696,-448.150665
165,1.375000,-0.329615,-0.448128,0.487284,-0.673119,65.370087,1238.913086,-448.150879
